scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage A (D+T),NC,24,0.23787908989961534,5000.0,159.9530391232979,155.01068376068375
Stage A (D+T),NC,25,0.3700363821346725,5005.666666666667,162.4056088682731,163.40384615384616
Stage A (D+T),NC,27,0.31469546012631183,4979.333333333333,163.36314752713182,163.7905982905983
Stage A (D+T),NC,26,0.4338591723680921,5096.25,171.5096546787211,172.23717948717947
Stage A (D+T),NC,28,0.28621038959558176,5067.916666666667,161.23917969597778,161.62820512820514
Stage A (D+T),NC,29,0.46413019469546235,5068.083333333333,180.03817087304932,184.21794871794873
Stage A (D+T),FH,0,0.27289675112291706,5171.0,161.5056056778845,161.30555555555554
Stage A (D+T),FH,2,0.2342698224940888,5104.833333333333,166.00928511016622,163.92521367521368
Stage A (D+T),FH,1,0.2941450766422513,5171.25,167.49108048857823,165.63247863247864
Stage A (D+T),FH,3,0.19854213408518334,5158.583333333333,161.02975628642292,163.18376068376068
Stage A (D+T),FH,4,0.21784956822645657,5096.916666666667,163.0906250975689,163.64316239316238
Stage A (D+T),FH,5,0.2995376363435501,5103.083333333333,165.70203737217972,171.51282051282053
Stage A (D+T),FH,6,0.18187904268685862,5042.333333333333,158.76193809098996,158.41239316239316
Stage A (D+T),FH,8,0.20516448097637877,5054.416666666667,157.87755938572556,155.39743589743588
Stage A (D+T),FH,10,0.15210950565961381,5078.416666666667,155.85308784325258,153.23717948717947
Stage A (D+T),FH,9,0.21586978100832976,5158.25,155.22603498148374,164.39316239316238
Stage A (D+T),FH,7,0.23016173257264985,5167.25,164.51550470101952,172.18162393162393
Stage A (D+T),FH,11,0.2961949968575201,5147.666666666667,163.5994769747035,165.72649572649573
Stage A (D+T),FH,12,0.22224164242771566,5072.5,160.5329188052354,162.66239316239316
Stage A (D+T),FH,13,0.2831369790003698,5157.5,166.38199007571833,177.65384615384616
Stage A (D+T),FH,14,0.19257844709869099,5106.0,154.98080575745863,155.80982905982907
Stage A (D+T),FH,15,0.24424554194230616,5159.333333333333,159.22538350767755,157.38675213675214
Stage A (D+T),FH,16,0.2558318628086488,5169.916666666667,157.56431784301668,158.07051282051282
Stage A (D+T),FH,17,0.22676576048718772,5252.916666666667,160.62019066665488,168.18803418803418
Stage A (D+T),FH,18,0.25607774616610446,5146.666666666667,160.611652636554,163.89316239316238
Stage A (D+T),FH,19,0.2826876493714262,5178.833333333333,165.60387233585766,162.9188034188034
Stage A (D+T),FH,20,0.2334884063786582,5122.0,157.28794689108668,162.01068376068375
Stage A (D+T),FH,22,0.2494046562718511,5098.916666666667,156.27870267191412,153.8311965811966
Stage A (D+T),FH,21,0.23740656186344275,5173.333333333333,157.19421241244027,163.17735042735043
Stage A (D+T),FH,23,0.2562976249039666,5177.916666666667,164.29111476409497,163.28846153846155
Stage A (D+T),FH,24,0.2511279386641885,5100.083333333333,158.099668904929,157.13247863247864
