scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage B (D+T+S+W+B),FH,21,0.7450817940321344,4802.058823529412,516.663685406955,508.0487288135593
Stage B (D+T+S+W+B),FH,20,0.9920794108820478,5904.588235294118,670.439962600385,706.8718535469108
Stage B (D+T+S+W+B),FH,23,0.833946536593393,5593.588235294118,490.8466147801416,490.14739884393066
Stage B (D+T+S+W+B),FH,22,0.879795839632491,5450.588235294118,545.2740525709008,529.6412395709177
Stage B (D+T+S+W+B),FH,25,0.847711444486246,5238.823529411765,526.2601728182314,538.1782178217821
Stage B (D+T+S+W+B),FH,26,0.9398314149644628,5770.35294117647,571.4503703075005,554.629191321499
Stage B (D+T+S+W+B),FH,27,0.6924019742205613,5163.0,390.0131401128664,569.8804500703235
Stage B (D+T+S+W+B),FH,24,0.6512371826143577,5489.176470588235,402.3901565173183,411.2219747587231
Stage B (D+T+S+W+B),FH,28,1.0290029092375998,5838.764705882353,623.4891249003382,663.7362146050671
Stage B (D+T+S+W+B),FH,29,0.7857154382881646,5488.058823529412,446.6970524846831,486.65008880994674
Stage B (D+T+S+W+B),EH,3,0.7869066998375792,4673.470588235294,557.2556576934098,532.5996472663139
Stage B (D+T+S+W+B),EH,1,0.9293102060335019,5256.764705882353,561.373452055018,585.71581769437
Stage B (D+T+S+W+B),EH,2,0.7229665081532038,5691.588235294118,453.6955700360253,508.5927750410509
Stage B (D+T+S+W+B),EH,0,0.8084394205949361,6443.529411764706,550.4296330665331,1054.0063321967853
Stage B (D+T+S+W+B),EH,4,0.7743240554806634,5712.705882352941,498.84999163123103,478.970715835141
Stage B (D+T+S+W+B),EH,5,0.7238084793724333,5469.35294117647,519.2642800857383,520.2436115843271
Stage B (D+T+S+W+B),EH,6,0.8396663358325694,5254.64705882353,538.9610037872761,564.1048387096774
Stage B (D+T+S+W+B),EH,7,0.9564145251090361,5307.176470588235,514.2224451500812,495.28528827037775
Stage B (D+T+S+W+B),EH,8,0.6362023863080536,4851.176470588235,425.8951227297876,441.57290322580644
Stage B (D+T+S+W+B),EH,9,1.0906644677595554,5852.64705882353,686.8669611317367,776.6942833471417
Stage B (D+T+S+W+B),EH,10,0.8430370770281671,5252.64705882353,570.4495300445162,550.585501858736
Stage B (D+T+S+W+B),EH,12,0.8672736719805747,5395.705882352941,519.1329124511068,523.426640926641
Stage B (D+T+S+W+B),EH,11,0.9648902054920818,5624.470588235294,564.5758421626264,615.6437728937728
Stage B (D+T+S+W+B),EH,15,0.8052872925229404,5022.64705882353,462.43787851561865,474.43973214285717
Stage B (D+T+S+W+B),EH,14,0.856222134415119,5101.882352941177,482.8360623717733,533.9507494646681
Stage B (D+T+S+W+B),EH,17,0.9904428852526822,5222.882352941177,604.6466465752761,597.9035916824197
Stage B (D+T+S+W+B),EH,13,0.849221051688262,5412.235294117647,569.8879458990541,577.9214046822742
Stage B (D+T+S+W+B),EH,16,0.6347058536509306,5358.64705882353,464.2237208336906,472.5152027027027
Stage B (D+T+S+W+B),EH,18,0.7790487029898684,5309.0,536.2659683167526,583.7609797297297
Stage B (D+T+S+W+B),EH,19,0.736542286259252,5594.235294117647,481.4581005300013,464.2675649663138
Stage B (D+T+S+W+B),EH,21,0.7008548444872542,4773.35294117647,490.8994674731486,489.5720338983051
Stage B (D+T+S+W+B),EH,20,1.0025529212039426,5882.35294117647,675.602508505093,734.0399543378995
Stage B (D+T+S+W+B),EH,23,0.8192666267441293,5566.764705882353,486.50133864903603,493.7377521613833
Stage B (D+T+S+W+B),EH,22,0.8264983182115077,5431.411764705882,521.8596939417572,501.43690476190477
Stage B (D+T+S+W+B),EH,25,0.8276278204142571,5237.117647058823,516.4309039508327,525.6732673267327
Stage B (D+T+S+W+B),EH,26,0.9002615881959992,5684.058823529412,547.8995002853104,541.4125736738704
Stage B (D+T+S+W+B),EH,24,0.7613223061884405,5570.941176470588,437.1109562901116,444.7096536477524
Stage B (D+T+S+W+B),EH,27,0.6928064220028437,5181.588235294118,395.3817012366354,561.3853727144866
Stage B (D+T+S+W+B),EH,28,1.0350437855472607,5748.176470588235,643.1832822170435,697.2861400894187
