scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Ablation S (D+T+S),NC,2,0.14409397177334823,5295.888888888889,304.8356433579453,353.1418269230769
Ablation S (D+T+S),NC,3,0.1575918434106178,5269.333333333333,304.02375542954655,367.2175480769231
Ablation S (D+T+S),NC,5,0.14413007345250545,5247.777777777777,305.45921126941414,345.26322115384613
Ablation S (D+T+S),NC,4,0.18606338988173926,5255.777777777777,304.2909327121436,399.57091346153845
Ablation S (D+T+S),NC,6,0.18505155405222165,5219.166666666667,309.2729841747293,333.0276442307692
Ablation S (D+T+S),NC,8,0.12948684889954884,5258.5,303.9245259263404,356.07572115384613
Ablation S (D+T+S),NC,7,0.14576848750143737,5307.111111111111,310.0984433744261,335.0793269230769
Ablation S (D+T+S),NC,9,0.18628751030866436,5264.666666666667,307.16594292624217,382.16225961538464
Ablation S (D+T+S),NC,10,0.19522544010444007,5254.111111111111,311.3399737796848,303.7704326923077
Ablation S (D+T+S),NC,11,0.12252577545940593,5274.222222222223,304.5486100494903,349.9254807692308
Ablation S (D+T+S),NC,12,0.12728478785629427,5245.5,305.7255063729949,384.52403846153845
Ablation S (D+T+S),NC,13,0.18683011569606803,5267.777777777777,311.19789258096887,306.70072115384613
Ablation S (D+T+S),NC,14,0.1739263576951548,5280.777777777777,310.2939216912705,374.6766826923077
Ablation S (D+T+S),NC,16,0.15742277245968328,5262.555555555556,304.85407952522667,395.8605769230769
Ablation S (D+T+S),NC,15,0.1847552051478273,5261.888888888889,308.90707711519195,323.29447115384613
Ablation S (D+T+S),NC,18,0.1736791485562206,5248.777777777777,309.9801781800553,372.5300480769231
Ablation S (D+T+S),NC,17,0.19951715226170635,5267.777777777777,311.65835633299923,407.45913461538464
Ablation S (D+T+S),NC,19,0.18291151568865383,5231.888888888889,307.5834043048661,358.2307692307692
Ablation S (D+T+S),NC,20,0.14055372585401404,5231.833333333333,303.26505498556185,351.6262019230769
Ablation S (D+T+S),NC,21,0.1960406602417521,5276.444444444444,306.45892016955594,357.86899038461536
