scenario,controller,seed,headway_cv,travel_s,wait_s
Weather,NC,12,0.3956540383055822,1127.375,246.2972972972973
Weather,NC,13,0.5639787806004029,1163.5,253.53153153153153
Weather,NC,14,0.4987344148097731,1203.0,210.24324324324326
Weather,NC,15,0.7308790774681145,1153.25,250.40540540540542
Weather,NC,16,0.6706946846360109,1371.375,279.72072072072075
Weather,NC,17,0.501097754688974,1135.875,226.36936936936937
Weather,NC,18,0.5230557728350076,1170.25,256.6666666666667
Weather,NC,19,0.643181461857969,1330.875,239.23423423423424
Weather,NC,20,0.5921398658441077,1232.5,260.4594594594595
Weather,NC,21,0.4832360068440174,1230.375,214.3963963963964
Weather,NC,22,0.6660790650262138,1236.625,234.76576576576576
Weather,NC,23,0.5286530599739121,1208.5,227.03603603603602
Weather,NC,24,0.4087168463296833,1136.375,205.55855855855856
Weather,NC,25,0.36395447369077594,1081.0,197.86486486486487
Weather,NC,26,0.42065956523009174,1066.125,219.73873873873873
Weather,NC,27,0.3988027138485218,1270.125,216.45945945945945
Weather,NC,28,0.39558077923247664,1078.75,210.67567567567568
Weather,NC,29,0.5248027747119841,1224.125,232.27927927927928
Weather,EH,0,0.44777086851864933,1411.125,222.75675675675674
Weather,EH,1,0.3385376643878379,1202.625,217.32432432432432
Weather,EH,2,0.20076365820118416,1091.25,195.92792792792793
Weather,EH,3,0.40183268677013784,1149.75,226.17117117117118
Weather,EH,4,0.3187609158217695,1203.0,195.17117117117118
Weather,EH,5,0.41168658205587993,1314.875,281.0
Weather,EH,6,0.39215116955915075,1218.625,202.21621621621622
Weather,EH,7,0.5938341634817133,1488.125,259.86486486486484
Weather,EH,8,0.13510919753368317,1023.375,198.2882882882883
Weather,EH,9,0.471194329295359,1337.375,272.6216216216216
Weather,EH,10,0.43230265198367057,1341.0,259.4864864864865
Weather,EH,11,0.4968043275428425,1354.75,268.5945945945946
Weather,EH,12,0.27301239816033435,1180.125,228.1891891891892
Weather,EH,13,0.4547646126380201,1285.75,269.7567567567568
Weather,EH,14,0.604116107763668,1387.875,234.05405405405406
Weather,EH,15,0.40934659882904095,1197.125,235.34234234234233
Weather,EH,16,0.7185613556161935,1567.625,278.3063063063063
Weather,EH,17,0.4627883255996338,1317.375,229.018018018018
Weather,EH,18,0.31339426571686896,1216.125,236.6216216216216
Weather,EH,19,0.49976454489971456,1368.0,227.14414414414415
Weather,EH,20,0.3876123340179597,1275.5,247.0990990990991
Weather,EH,21,0.5180621550252821,1388.875,209.04504504504504
Weather,EH,22,0.5060484247977226,1286.625,219.57657657657657
Weather,EH,23,0.35332330347571606,1214.5,206.2972972972973
Weather,EH,24,0.4601879773030646,1306.0,206.6036036036036
Weather,EH,25,0.27001321978055337,1137.875,195.65765765765767
Weather,EH,26,0.3380841553463938,1175.25,206.74774774774775
Weather,EH,27,0.4239139361540973,1249.25,196.9189189189189
Weather,EH,28,0.37465557286709383,1192.875,206.96396396396398
Weather,EH,29,0.4538811920377235,1319.625,227.51351351351352
Weather+Breakdown,NC,0,0.5389571047726491,1387.0,245.21621621621622
Weather+Breakdown,NC,1,0.4450249432870111,1212.375,225.19819819819818
Weather+Breakdown,NC,2,0.4438448968770398,1129.375,222.86486486486487
Weather+Breakdown,NC,3,0.6083662196045875,1151.125,265.73873873873873
Weather+Breakdown,NC,4,0.7501447208116847,1237.875,257.0900900900901
Weather+Breakdown,NC,5,1.0312684805519412,1425.375,391.963963963964
Weather+Breakdown,NC,6,0.5567231278100746,1119.75,248.48648648648648
Weather+Breakdown,NC,7,0.8890103067800261,1404.0,303.34234234234236
Weather+Breakdown,NC,8,0.6135199413041101,1040.375,244.73873873873873
Weather+Breakdown,NC,9,0.6734064927065642,1183.625,313.036036036036
Weather+Breakdown,NC,10,0.6193047989434819,1205.75,301.7567567567568
Weather+Breakdown,NC,11,0.6597974490305718,1317.25,331.63963963963965
Weather+Breakdown,NC,12,0.6377486893512113,1203.625,278.8738738738739
Weather+Breakdown,NC,13,0.7210065112445061,1330.375,267.2162162162162
Weather+Breakdown,NC,14,0.5417345984471761,1243.125,226.3153153153153
Weather+Breakdown,NC,15,0.5966395496503354,1144.125,252.66666666666666
Weather+Breakdown,NC,16,0.6956904032432207,1359.875,303.5405405405405
Weather+Breakdown,NC,17,0.46852238543448477,1209.4285714285713,226.36936936936937
