episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
166,1,1,0,0.204,-23.16,0.6166,,,,,0.647
167,0,0,0,0.0,-21.71,0.6242,,,,,0.645
168,0,1,1,1.007,-52.02,0.8229,,,,,0.643
169,1,1,0,0.169,-19.3,0.4806,,,,,0.641
170,0,0,0,0.0,-10.29,0.3739,,,,,0.639
171,1,1,0,0.241,-15.38,0.4913,,,,,0.637
172,1,1,1,0.797,-65.44,0.825,,,,,0.634
173,0,1,0,0.77,-31.55,0.6507,,,,,0.632
174,1,1,1,0.082,-18.46,0.4977,,,,,0.63
175,1,1,0,1.13,-46.74,0.8556,,,,,0.628
176,1,1,1,1.191,-39.36,0.7456,,,,,0.626
177,0,0,0,0.0,-26.39,0.6222,,,,,0.624
178,0,0,1,0.0,-9.68,0.3637,,,,,0.622
179,1,0,1,0.0,-32.61,0.6495,,,,,0.619
180,0,1,0,0.992,-51.65,0.8642,,,,,0.617
181,1,1,0,0.4,-34.15,0.6457,,,,,0.615
182,1,0,1,0.0,-23.22,0.5422,,,,,0.613
183,0,0,0,0.0,-14.35,0.4444,,,,,0.611
184,1,0,1,0.0,-22.92,0.5491,,,,,0.609
185,0,1,0,1.214,-49.97,0.8159,,,,,0.607
186,0,1,1,0.522,-58.09,0.8605,,,,,0.605
187,1,0,1,0.0,-20.23,0.4811,,,,,0.602
188,0,0,0,0.0,-11.8,0.4271,,,,,0.6
189,1,0,0,0.0,-19.59,0.4886,,,,,0.598
190,0,0,1,0.0,-14.06,0.4444,,,,,0.596
191,1,1,0,1.238,-119.33,1.1633,,,,,0.594
192,0,1,1,1.001,-33.5,0.7028,,,,,0.592
193,0,1,0,0.362,-34.8,0.7023,,,,,0.59
194,0,0,0,0.0,-24.53,0.6142,,,,,0.587
195,0,1,0,0.305,-16.47,0.5056,,,,,0.585
196,1,0,1,0.0,-12.12,0.4022,,,,,0.583
197,1,1,1,0.252,-41.31,0.7437,,,,,0.581
198,0,1,1,1.024,-44.94,0.8834,,,,,0.579
199,1,1,0,0.047,-36.82,0.6464,,,,,0.577
200,1,0,0,0.0,-22.32,0.5669,0.5726,0.4615,0.543,0.7134,0.575
201,0,0,0,0.0,-14.55,0.4377,,,,,0.573
202,0,0,1,0.0,-14.65,0.4594,,,,,0.57
203,0,0,1,0.0,-17.99,0.4929,,,,,0.568
204,0,0,0,0.0,-8.87,0.3783,,,,,0.566
205,1,1,0,0.577,-43.01,0.7935,,,,,0.564
206,0,0,1,0.0,-19.23,0.5148,,,,,0.562
207,1,1,1,0.082,-11.02,0.4062,,,,,0.56
208,0,0,1,0.0,-25.16,0.5357,,,,,0.558
209,1,1,1,0.544,-50.49,0.8726,,,,,0.556
210,1,0,1,0.0,-31.65,0.6458,,,,,0.554
211,1,1,0,0.262,-25.94,0.5466,,,,,0.551
212,0,1,0,0.558,-41.38,0.7623,,,,,0.549
213,0,0,0,0.0,-13.25,0.4586,,,,,0.547
214,0,1,0,0.879,-31.47,0.7191,,,,,0.545
215,0,0,1,0.0,-13.97,0.4639,,,,,0.543
216,1,0,0,0.0,-16.13,0.4592,,,,,0.541
217,0,0,0,0.0,-24.51,0.539,,,,,0.539
218,1,0,1,0.0,-17.06,0.448,,,,,0.536
219,0,0,0,0.0,-16.72,0.5031,,,,,0.534
220,1,1,0,1.282,-42.25,0.8294,,,,,0.532
221,1,0,1,0.0,-32.97,0.6251,,,,,0.53
222,0,0,0,0.0,-10.55,0.3455,,,,,0.528
223,1,1,1,1.017,-60.58,0.8307,,,,,0.526
224,1,0,1,0.0,-30.88,0.5971,,,,,0.524
225,0,0,1,0.0,-27.49,0.6166,,,,,0.522
226,1,1,1,0.386,-38.23,0.7126,,,,,0.52
227,1,1,1,1.3,-87.11,0.9862,,,,,0.517
