episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
233,0,0,1,0.0,-27.96,0.4301,,,,,0.505
234,0,1,0,1.058,-158.92,1.0431,,,,,0.503
235,1,0,0,0.0,-22.68,0.348,,,,,0.501
236,1,1,1,0.511,-103.2,0.8445,,,,,0.498
237,0,1,1,0.851,-135.54,1.1525,,,,,0.496
238,0,0,0,0.0,-64.72,0.6399,,,,,0.494
239,0,1,1,1.048,-68.61,0.667,,,,,0.492
240,0,0,0,0.0,-20.56,0.3479,,,,,0.49
241,1,1,0,0.42,-44.37,0.4997,,,,,0.488
242,1,1,0,0.443,-99.98,0.813,,,,,0.486
243,0,0,0,0.0,-25.53,0.341,,,,,0.483
244,0,0,1,0.0,-53.39,0.5248,,,,,0.481
245,1,0,0,0.0,-30.47,0.3701,,,,,0.479
246,1,0,0,0.0,-41.65,0.4519,,,,,0.477
247,0,0,1,0.0,-15.95,0.3183,,,,,0.475
248,1,1,1,0.787,-64.3,0.6452,,,,,0.473
249,0,0,1,0.0,-39.39,0.521,,,,,0.471
250,1,0,0,0.0,-34.29,0.4125,0.5228,0.4147,0.466,0.6878,0.469
251,1,0,0,0.0,-41.81,0.4531,,,,,0.466
252,1,1,0,0.086,-32.39,0.4733,,,,,0.464
253,0,0,0,0.0,-28.95,0.4278,,,,,0.462
254,0,1,0,0.76,-47.73,0.676,,,,,0.46
255,0,0,1,0.0,-32.41,0.3672,,,,,0.458
256,0,1,1,0.434,-86.07,0.7312,,,,,0.456
257,0,1,1,1.184,-127.54,0.8616,,,,,0.454
258,0,0,0,0.0,-36.83,0.5024,,,,,0.452
259,0,0,1,0.0,-16.42,0.3542,,,,,0.449
260,1,1,0,0.006,-45.67,0.5385,,,,,0.447
261,1,1,1,0.498,-90.62,0.7308,,,,,0.445
262,1,1,0,1.095,-144.28,1.0683,,,,,0.443
263,1,0,1,0.0,-47.27,0.4839,,,,,0.441
264,0,1,0,0.903,-124.41,0.91,,,,,0.439
265,0,1,1,0.57,-72.28,0.717,,,,,0.437
266,1,1,1,0.318,-50.65,0.5565,,,,,0.435
267,1,1,0,0.131,-61.03,0.5439,,,,,0.433
268,1,1,1,0.267,-69.3,0.5618,,,,,0.43
269,0,0,1,0.0,-38.31,0.4233,,,,,0.428
270,1,0,1,0.0,-45.83,0.507,,,,,0.426
271,0,1,1,0.14,-33.34,0.421,,,,,0.424
272,1,1,1,0.082,-30.42,0.3953,,,,,0.422
273,1,0,0,0.0,-14.87,0.2716,,,,,0.42
274,0,0,1,0.0,-21.44,0.331,,,,,0.418
275,1,1,0,1.112,-89.36,0.884,,,,,0.416
276,1,1,1,1.149,-114.92,0.9369,,,,,0.413
277,1,0,0,0.0,-22.21,0.3797,,,,,0.411
278,0,1,0,1.076,-124.59,1.0093,,,,,0.409
279,0,0,0,0.0,-48.11,0.4585,,,,,0.407
280,0,0,1,0.0,-46.55,0.4914,,,,,0.405
281,1,0,0,0.0,-32.7,0.392,,,,,0.403
282,0,0,0,0.0,-52.93,0.5215,,,,,0.401
283,0,1,1,0.626,-91.52,0.7031,,,,,0.398
284,0,0,1,0.0,-26.84,0.3679,,,,,0.396
285,1,0,1,0.0,-36.65,0.4195,,,,,0.394
286,1,0,1,0.0,-56.27,0.5216,,,,,0.392
287,1,0,1,0.0,-53.35,0.5137,,,,,0.39
288,1,1,0,1.124,-116.07,0.9284,,,,,0.388
289,1,1,0,0.242,-72.05,0.672,,,,,0.386
290,0,0,0,0.0,-50.53,0.4921,,,,,0.384
291,0,0,1,0.0,-18.36,0.2898,,,,,0.381
292,1,0,0,0.0,-29.39,0.3781,,,,,0.379
293,1,0,0,0.0,-27.84,0.4049,,,,,0.377
294,1,1,1,1.198,-98.72,0.7463,,,,,0.375
295,1,1,0,0.374,-24.54,0.3606,,,,,0.373
296,1,0,0,0.0,-48.25,0.5364,,,,,0.371
297,0,1,0,0.31,-84.24,0.6541,,,,,0.369
298,1,1,0,0.527,-61.48,0.5749,,,,,0.366
299,1,1,1,1.173,-103.41,0.7828,,,,,0.364
300,1,0,0,0.0,-28.04,0.3727,0.5404,0.4223,0.4963,0.7027,0.362
301,1,1,0,0.817,-83.08,0.8849,,,,,0.36
302,0,0,1,0.0,-25.87,0.3731,,,,,0.358
303,1,0,0,0.0,-96.05,0.7843,,,,,0.356
304,0,1,1,0.871,-60.86,0.726,,,,,0.354
305,0,0,1,0.0,-26.09,0.4254,,,,,0.352
306,0,1,1,0.093,-16.69,0.3346,,,,,0.35
307,0,0,1,0.0,-26.27,0.3893,,,,,0.348
308,1,1,1,1.01,-93.43,0.8067,,,,,0.345
309,0,1,0,0.681,-115.44,0.9002,,,,,0.343
310,0,1,0,0.092,-26.51,0.4267,,,,,0.341
