episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
162,1,1,1,0.191,-73.43,0.632,,,,,0.656
163,1,0,1,0.0,-36.73,0.4986,,,,,0.654
164,1,0,0,0.0,-57.57,0.5345,,,,,0.651
165,0,1,1,1.083,-90.48,0.7711,,,,,0.649
166,1,1,0,0.204,-65.7,0.625,,,,,0.647
167,0,0,0,0.0,-63.23,0.5746,,,,,0.645
168,0,1,1,1.007,-107.55,0.8342,,,,,0.643
169,1,1,0,0.169,-37.38,0.4181,,,,,0.641
170,0,0,0,0.0,-24.08,0.3449,,,,,0.639
171,1,1,0,0.241,-34.89,0.4824,,,,,0.637
172,1,1,1,0.797,-105.7,0.8729,,,,,0.634
173,0,1,0,0.77,-69.02,0.6591,,,,,0.632
174,1,1,1,0.082,-35.13,0.4545,,,,,0.63
175,1,1,0,1.13,-93.13,0.9131,,,,,0.628
176,1,1,1,1.191,-65.44,0.7146,,,,,0.626
177,0,0,0,0.0,-67.34,0.636,,,,,0.624
178,0,0,1,0.0,-19.89,0.3042,,,,,0.622
179,1,0,1,0.0,-75.32,0.6477,,,,,0.619
180,0,1,0,0.992,-117.77,0.9174,,,,,0.617
181,1,1,0,0.4,-85.69,0.6478,,,,,0.615
182,1,0,1,0.0,-54.93,0.53,,,,,0.613
183,0,0,0,0.0,-26.81,0.4409,,,,,0.611
184,1,0,1,0.0,-54.68,0.5599,,,,,0.609
185,0,1,0,1.214,-117.52,0.7953,,,,,0.607
186,0,1,1,0.522,-119.36,0.823,,,,,0.605
187,1,0,1,0.0,-43.28,0.478,,,,,0.602
188,0,0,0,0.0,-32.59,0.4385,,,,,0.6
189,1,0,0,0.0,-38.9,0.4523,,,,,0.598
190,0,0,1,0.0,-31.62,0.4286,,,,,0.596
191,1,1,0,1.238,-163.15,1.1203,,,,,0.594
192,0,1,1,1.001,-82.16,0.7521,,,,,0.592
193,0,1,0,0.362,-78.0,0.6808,,,,,0.59
194,0,0,0,0.0,-69.77,0.6273,,,,,0.587
195,0,1,0,0.305,-39.47,0.5005,,,,,0.585
196,1,0,1,0.0,-31.33,0.4026,,,,,0.583
197,1,1,1,0.252,-103.65,0.7147,,,,,0.581
198,0,1,1,1.024,-108.7,0.8958,,,,,0.579
199,1,1,0,0.047,-70.9,0.6458,,,,,0.577
200,1,0,0,0.0,-77.43,0.6124,0.4897,0.3614,0.4458,0.6619,0.575
201,0,0,0,0.0,-39.3,0.4599,,,,,0.573
202,0,0,1,0.0,-43.28,0.5029,,,,,0.57
203,0,0,1,0.0,-52.05,0.5323,,,,,0.568
204,0,0,0,0.0,-22.43,0.3886,,,,,0.566
205,1,1,0,0.577,-95.55,0.8119,,,,,0.564
206,0,0,1,0.0,-40.6,0.4712,,,,,0.562
207,1,1,1,0.082,-19.99,0.3839,,,,,0.56
208,0,0,1,0.0,-47.22,0.5127,,,,,0.558
209,1,1,1,0.544,-107.94,0.8773,,,,,0.556
210,1,0,1,0.0,-70.23,0.6267,,,,,0.554
211,1,1,0,0.262,-61.66,0.5756,,,,,0.551
212,0,1,0,0.558,-86.83,0.738,,,,,0.549
213,0,0,0,0.0,-34.78,0.4472,,,,,0.547
214,0,1,0,0.879,-64.6,0.6829,,,,,0.545
215,0,0,1,0.0,-35.36,0.4444,,,,,0.543
216,1,0,0,0.0,-32.54,0.4203,,,,,0.541
217,0,0,0,0.0,-59.68,0.5209,,,,,0.539
218,1,0,1,0.0,-34.96,0.4498,,,,,0.536
219,0,0,0,0.0,-41.22,0.5197,,,,,0.534
220,1,1,0,1.282,-84.61,0.8448,,,,,0.532
221,1,0,1,0.0,-48.2,0.532,,,,,0.53
222,0,0,0,0.0,-25.16,0.3168,,,,,0.528
223,1,1,1,1.017,-117.8,0.8132,,,,,0.526
224,1,0,1,0.0,-57.55,0.5518,,,,,0.524
225,0,0,1,0.0,-62.31,0.5867,,,,,0.522
226,1,1,1,0.386,-96.15,0.7053,,,,,0.52
227,1,1,1,1.3,-149.77,1.0233,,,,,0.517
228,0,0,0,0.0,-22.11,0.3669,,,,,0.515
229,0,0,0,0.0,-46.59,0.5166,,,,,0.513
230,1,0,1,0.0,-29.71,0.3739,,,,,0.511
231,1,1,1,0.878,-122.19,1.0017,,,,,0.509
232,0,1,1,0.559,-107.49,0.7866,,,,,0.507
233,0,0,1,0.0,-31.75,0.4487,,,,,0.505
234,0,1,0,1.058,-156.33,1.0445,,,,,0.503
235,1,0,0,0.0,-24.48,0.3512,,,,,0.501
236,1,1,1,0.511,-108.05,0.8543,,,,,0.498
237,0,1,1,0.851,-127.03,1.1061,,,,,0.496
238,0,0,0,0.0,-67.67,0.6424,,,,,0.494
239,0,1,1,1.048,-71.54,0.6795,,,,,0.492
240,0,0,0,0.0,-17.6,0.3439,,,,,0.49
241,1,1,0,0.42,-44.93,0.5174,,,,,0.488
242,1,1,0,0.443,-116.0,0.8582,,,,,0.486
243,0,0,0,0.0,-27.43,0.3343,,,,,0.483
244,0,0,1,0.0,-55.26,0.5235,,,,,0.481
245,1,0,0,0.0,-34.49,0.3919,,,,,0.479
246,1,0,0,0.0,-44.57,0.4892,,,,,0.477
247,0,0,1,0.0,-23.87,0.3632,,,,,0.475
248,1,1,1,0.787,-66.22,0.6564,,,,,0.473
249,0,0,1,0.0,-39.92,0.5021,,,,,0.471
250,1,0,0,0.0,-30.82,0.3684,0.5013,0.3592,0.4655,0.6793,0.469
251,1,0,0,0.0,-59.6,0.5433,,,,,0.466
252,1,1,0,0.086,-30.48,0.4684,,,,,0.464
