episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
164,1,0,0,0.0,-25.12,0.602,,,,,0.651
165,0,1,1,1.083,-37.7,0.8094,,,,,0.649
166,1,1,0,0.204,-23.61,0.6681,,,,,0.647
167,0,0,0,0.0,-18.14,0.5781,,,,,0.645
168,0,1,1,1.007,-39.46,0.8516,,,,,0.643
169,1,1,0,0.169,-16.3,0.4686,,,,,0.641
170,0,0,0,0.0,-8.28,0.3471,,,,,0.639
171,1,1,0,0.241,-15.37,0.5206,,,,,0.637
172,1,1,1,0.797,-54.69,0.8517,,,,,0.634
173,0,1,0,0.77,-24.97,0.6542,,,,,0.632
174,1,1,1,0.082,-14.17,0.4664,,,,,0.63
175,1,1,0,1.13,-40.04,0.8826,,,,,0.628
176,1,1,1,1.191,-29.7,0.7451,,,,,0.626
177,0,0,0,0.0,-24.21,0.6428,,,,,0.624
178,0,0,1,0.0,-8.82,0.3293,,,,,0.622
179,1,0,1,0.0,-29.88,0.6982,,,,,0.619
180,0,1,0,0.992,-45.18,0.9186,,,,,0.617
181,1,1,0,0.4,-28.53,0.6309,,,,,0.615
182,1,0,1,0.0,-19.43,0.5396,,,,,0.613
183,0,0,0,0.0,-11.99,0.4482,,,,,0.611
184,1,0,1,0.0,-20.09,0.5521,,,,,0.609
185,0,1,0,1.214,-44.95,0.8294,,,,,0.607
186,0,1,1,0.522,-44.07,0.8145,,,,,0.605
187,1,0,1,0.0,-18.09,0.4873,,,,,0.602
188,0,0,0,0.0,-11.98,0.442,,,,,0.6
189,1,0,0,0.0,-15.8,0.455,,,,,0.598
190,0,0,1,0.0,-12.4,0.4529,,,,,0.596
191,1,1,0,1.238,-86.85,1.188,,,,,0.594
192,0,1,1,1.001,-30.44,0.7295,,,,,0.592
193,0,1,0,0.362,-26.36,0.6663,,,,,0.59
194,0,0,0,0.0,-20.83,0.6104,,,,,0.587
195,0,1,0,0.305,-14.3,0.5169,,,,,0.585
196,1,0,1,0.0,-10.64,0.3572,,,,,0.583
197,1,1,1,0.252,-37.09,0.773,,,,,0.581
198,0,1,1,1.024,-36.25,0.8642,,,,,0.579
199,1,1,0,0.047,-36.2,0.6886,,,,,0.577
200,1,0,0,0.0,-20.82,0.5671,0.6039,0.4943,0.5573,0.76,0.575
201,0,0,0,0.0,-17.08,0.4974,,,,,0.573
202,0,0,1,0.0,-18.33,0.5338,,,,,0.57
203,0,0,1,0.0,-17.21,0.5208,,,,,0.568
204,0,0,0,0.0,-9.91,0.4142,,,,,0.566
205,1,1,0,0.577,-32.86,0.8011,,,,,0.564
206,0,0,1,0.0,-13.89,0.4907,,,,,0.562
207,1,1,1,0.082,-9.0,0.3955,,,,,0.56
208,0,0,1,0.0,-20.7,0.5414,,,,,0.558
209,1,1,1,0.544,-38.79,0.8583,,,,,0.556
210,1,0,1,0.0,-25.08,0.6318,,,,,0.554
211,1,1,0,0.262,-28.0,0.6372,,,,,0.551
212,0,1,0,0.558,-36.54,0.8011,,,,,0.549
213,0,0,0,0.0,-12.56,0.466,,,,,0.547
214,0,1,0,0.879,-25.48,0.699,,,,,0.545
215,0,0,1,0.0,-15.43,0.532,,,,,0.543
216,1,0,0,0.0,-10.44,0.4127,,,,,0.541
217,0,0,0,0.0,-24.39,0.5791,,,,,0.539
218,1,0,1,0.0,-15.02,0.4754,,,,,0.536
219,0,0,0,0.0,-14.71,0.5293,,,,,0.534
220,1,1,0,1.282,-40.28,0.895,,,,,0.532
221,1,0,1,0.0,-24.96,0.6211,,,,,0.53
222,0,0,0,0.0,-11.97,0.387,,,,,0.528
223,1,1,1,1.017,-53.98,0.9023,,,,,0.526
224,1,0,1,0.0,-24.39,0.5799,,,,,0.524
225,0,0,1,0.0,-23.44,0.6216,,,,,0.522
226,1,1,1,0.386,-35.53,0.7253,,,,,0.52
227,1,1,1,1.3,-71.77,1.0042,,,,,0.517
228,0,0,0,0.0,-9.29,0.3689,,,,,0.515
229,0,0,0,0.0,-17.71,0.5637,,,,,0.513
230,1,0,1,0.0,-14.88,0.4658,,,,,0.511
231,1,1,1,0.878,-56.74,1.0475,,,,,0.509
232,0,1,1,0.559,-38.18,0.7408,,,,,0.507
233,0,0,1,0.0,-13.85,0.4694,,,,,0.505
234,0,1,0,1.058,-60.69,1.0464,,,,,0.503
235,1,0,0,0.0,-9.58,0.3719,,,,,0.501
236,1,1,1,0.511,-39.73,0.8423,,,,,0.498
237,0,1,1,0.851,-58.04,1.0998,,,,,0.496
238,0,0,0,0.0,-29.34,0.6781,,,,,0.494
239,0,1,1,1.048,-28.07,0.661,,,,,0.492
240,0,0,0,0.0,-8.94,0.4172,,,,,0.49
241,1,1,0,0.42,-18.08,0.5504,,,,,0.488
242,1,1,0,0.443,-59.3,0.8949,,,,,0.486
243,0,0,0,0.0,-12.69,0.4211,,,,,0.483
244,0,0,1,0.0,-21.65,0.5619,,,,,0.481
245,1,0,0,0.0,-11.14,0.4021,,,,,0.479
246,1,0,0,0.0,-20.55,0.5369,,,,,0.477
247,0,0,1,0.0,-10.31,0.3988,,,,,0.475
248,1,1,1,0.787,-27.34,0.6421,,,,,0.473
249,0,0,1,0.0,-18.7,0.5198,,,,,0.471
250,1,0,0,0.0,-14.48,0.4114,0.6211,0.4844,0.5997,0.7792,0.469
251,1,0,0,0.0,-19.89,0.5119,,,,,0.466
252,1,1,0,0.086,-12.83,0.521,,,,,0.464
253,0,0,0,0.0,-15.47,0.5162,,,,,0.462
254,0,1,0,0.76,-21.57,0.702,,,,,0.46
255,0,0,1,0.0,-14.33,0.4128,,,,,0.458
256,0,1,1,0.434,-42.17,0.8149,,,,,0.456
257,0,1,1,1.184,-46.03,0.909,,,,,0.454
258,0,0,0,0.0,-16.5,0.5309,,,,,0.452
259,0,0,1,0.0,-11.02,0.451,,,,,0.449
260,1,1,0,0.006,-30.34,0.6443,,,,,0.447
